t=2025-12-05T05:47:55+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-05T05:47:55+0530 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/shivansh/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="using configuration at default config path" path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="open config file" path=/Users/shivansh/.ngrok2/ngrok.yml err=nil
t=2025-12-05T05:47:55+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-05T05:47:55+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-05T06:14:18+0530 lvl=info msg="join connections" obj=join id=76be3b223c17 l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:18+0530 lvl=info msg="join connections" obj=join id=3bcdc7e6551c l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:24+0530 lvl=info msg="join connections" obj=join id=4fe9937d43dc l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:24+0530 lvl=info msg="join connections" obj=join id=1bc3ec2c2bd4 l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:24+0530 lvl=info msg="join connections" obj=join id=a54972a09b33 l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:26+0530 lvl=info msg="join connections" obj=join id=9afcb5dddae8 l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:26+0530 lvl=info msg="join connections" obj=join id=9c2f8f9854c3 l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:54+0530 lvl=info msg="join connections" obj=join id=135ef17c0197 l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:55+0530 lvl=info msg="join connections" obj=join id=04e3771a071b l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:14:55+0530 lvl=info msg="join connections" obj=join id=dd5b4ac92bc5 l=127.0.0.1:3000 r=49.43.162.118:36482
t=2025-12-05T06:16:13+0530 lvl=info msg="join connections" obj=join id=a63732161722 l=127.0.0.1:3000 r=49.43.162.118:61963
t=2025-12-05T06:16:20+0530 lvl=info msg="join connections" obj=join id=698204c83401 l=127.0.0.1:3000 r=49.43.162.118:62069
t=2025-12-05T06:16:32+0530 lvl=info msg="join connections" obj=join id=e661b5c9b3ec l=127.0.0.1:3000 r=49.43.162.118:62232
t=2025-12-05T06:16:33+0530 lvl=info msg="join connections" obj=join id=24cdad1121a0 l=127.0.0.1:3000 r=49.43.162.118:62232
t=2025-12-05T06:16:33+0530 lvl=info msg="join connections" obj=join id=a47fd96b2120 l=127.0.0.1:3000 r=49.43.162.118:62232
t=2025-12-05T06:16:33+0530 lvl=info msg="join connections" obj=join id=c7e82998c563 l=127.0.0.1:3000 r=49.43.162.118:62232
t=2025-12-05T06:16:35+0530 lvl=info msg="join connections" obj=join id=5846b4ee7589 l=127.0.0.1:3000 r=49.43.162.118:62232
t=2025-12-05T06:16:35+0530 lvl=info msg="join connections" obj=join id=28dc33c62abd l=127.0.0.1:3000 r=49.43.162.118:62232
t=2025-12-05T06:17:47+0530 lvl=info msg="join connections" obj=join id=78cfde1ebfa2 l=127.0.0.1:3000 r=49.43.162.118:63238
t=2025-12-05T06:17:53+0530 lvl=info msg="join connections" obj=join id=9c2866ca3df1 l=127.0.0.1:3000 r=49.43.162.118:63309
t=2025-12-05T06:18:11+0530 lvl=info msg="join connections" obj=join id=0b02c82dbeb0 l=127.0.0.1:3000 r=49.43.162.118:63542
t=2025-12-05T06:18:14+0530 lvl=info msg="join connections" obj=join id=e9e1e4c65c84 l=127.0.0.1:3000 r=49.43.162.118:63583
t=2025-12-05T06:21:41+0530 lvl=info msg="join connections" obj=join id=4ce41d07d693 l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:21:41+0530 lvl=info msg="join connections" obj=join id=cc6d1b9a8879 l=127.0.0.1:3000 r=172.71.198.142:45467
t=2025-12-05T06:21:41+0530 lvl=info msg="join connections" obj=join id=4c5510b7eb6b l=127.0.0.1:3000 r=172.71.198.100:53905
t=2025-12-05T06:21:41+0530 lvl=info msg="join connections" obj=join id=b91e57d100cb l=127.0.0.1:3000 r=172.71.198.142:35257
t=2025-12-05T06:21:49+0530 lvl=info msg="join connections" obj=join id=2161dd6cb6cc l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:21:54+0530 lvl=info msg="join connections" obj=join id=67ed5ce1e5de l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:21:54+0530 lvl=info msg="join connections" obj=join id=7b1102b6c170 l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:21:54+0530 lvl=info msg="join connections" obj=join id=dba1da7d94ef l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:21:55+0530 lvl=info msg="join connections" obj=join id=1b1621213275 l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:22:11+0530 lvl=info msg="join connections" obj=join id=6eecf05642ac l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:22:12+0530 lvl=info msg="join connections" obj=join id=5b4e0a360b4d l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:22:12+0530 lvl=info msg="join connections" obj=join id=7b00c4fb3839 l=127.0.0.1:3000 r=49.43.162.118:59934
